id_ppt,id_img,order,ppt,image,trial,x,y,duration,train
14,15,9,PP24,1393,2,119.828980099502,357.736707089552,0.402,TRUE
14,15,10,PP24,1393,2,279.254966887417,201.869050082781,0.302,TRUE
14,15,11,PP24,1393,2,199.156666666667,218.290625,0.75,TRUE
14,15,12,PP24,1393,2,473.868343195266,455.165957840237,0.338,TRUE
14,15,13,PP24,1393,2,413.053325688073,479.442015481651,0.436,TRUE
14,15,14,PP24,1393,2,678.808178191487,449.454579454787,0.752,TRUE
14,15,15,PP24,1393,2,721.451693227094,476.371856324701,0.502,TRUE
14,15,16,PP24,1393,2,688.75595238095,487.472098214286,0.21,TRUE
14,15,17,PP24,1393,2,280.243362831858,391.126244469026,0.226,TRUE
14,15,18,PP24,1393,2,223.708726415094,271.084537146226,0.212,TRUE
14,15,19,PP24,1393,2,210.364010989011,228.161486950549,0.182,TRUE
14,16,1,PP24,1416,26,634.209104938269,154.159432870371,0.324,TRUE
14,16,2,PP24,1416,26,661.010852090031,94.3152130225078,0.622,TRUE
14,16,3,PP24,1416,26,333.080234159779,266.569279442149,0.726,TRUE
14,16,4,PP24,1416,26,274.875897129187,257.056949013158,0.836,TRUE
14,16,6,PP24,1416,26,252.3125,229.759114583333,0.36,TRUE
14,16,7,PP24,1416,26,617.613636363636,195.933948863636,0.264,TRUE
14,16,8,PP24,1416,26,663.370535714287,94.2475818452379,0.504,TRUE
14,16,12,PP24,1416,26,556.441532258064,137.761466733871,0.124,TRUE
14,16,13,PP24,1416,26,520.248786407767,106.024347694175,0.618,TRUE
14,20,1,PP24,1554,21,340.59375,99.8209635416666,0.36,TRUE
14,20,3,PP24,1554,21,244.128787878788,13.2368607954546,0.132,TRUE
14,20,5,PP24,1554,21,514.293981481481,94.0755208333336,0.108,TRUE
14,20,6,PP24,1554,21,501.415895061728,120.818865740741,0.324,TRUE
14,20,7,PP24,1554,21,144.028284671533,46.4259238138686,0.274,TRUE
14,20,8,PP24,1554,21,197.244565217391,79.921875,0.46,TRUE
14,22,1,PP24,1654,14,684.330357142856,242.439488002232,0.448,TRUE
14,22,2,PP24,1654,14,190.669191919192,223.183001893939,0.198,TRUE
14,22,3,PP24,1654,14,621.269358407079,282.860031803097,0.452,TRUE
14,22,4,PP24,1654,14,485.546448087432,234.403816598361,0.366,TRUE
14,22,5,PP24,1654,14,429.6875,269.722316576087,0.276,TRUE
14,22,6,PP24,1654,14,446.588541666667,252.29736328125,0.48,TRUE
14,22,7,PP24,1654,14,109.115234375,218.604125976562,0.64,TRUE
