id_img,image,row,col,idx,x,y,value,value_normalized,saliency_log,log_lik_saliency
15,1393,5,1,5,180.5,20.5,0.05246582992109177,5.394201561926958e-4,-7.525015780154253,-14.902774688382125
15,1393,6,1,6,220.5,20.5,0.05304585487709635,5.453836023601198e-4,-7.514021153351073,-14.891780061578945
15,1393,7,1,7,260.5,20.5,0.054061137066929284,5.558220854307779e-4,-7.495062305153905,-14.872821213381776
15,1393,8,1,8,300.5,20.5,0.04875098511892301,5.012264944049895e-4,-7.598452474398184,-14.976211382626056
15,1393,9,1,9,340.5,20.5,0.0477752451490399,4.911945591864024e-4,-7.618670257767601,-14.996429165995472
15,1393,10,1,10,380.5,20.5,0.042081175895261676,4.3265177560965196e-4,-7.745577366887469,-15.123336275115342
15,1393,11,1,11,420.5,20.5,0.044409586417564005,4.5659100557151553e-4,-7.691722522767122,-15.069481430994994
15,1393,12,1,12,460.5,20.5,0.04526380027815214,4.653734869464109e-4,-7.672670277033384,-15.050429185261256
15,1393,13,1,13,500.5,20.5,0.044134546781105476,4.5376322368222155e-4,-7.6979350297085505,-15.075693937936423
15,1393,14,1,14,540.5,20.5,0.04599409652303999,4.728819265360795e-4,-7.656664827407907,-15.03442373563578
15,1393,15,1,15,580.5,20.5,0.04279910436948851,4.400330576800026e-4,-7.728660702783252,-15.106419611011123
15,1393,16,1,16,620.5,20.5,0.04182913209207195,4.300604221918468e-4,-7.751584842422991,-15.129343750650865
15,1393,17,1,17,660.5,20.5,0.04008613883676351,4.121400786952252e-4,-7.794147269567502,-15.171906177795375
15,1393,18,1,18,700.5,20.5,0.04044002656594353,4.157785263179173e-4,-7.785357828131025,-15.163116736358898
15,1393,19,1,19,740.5,20.5,0.03708785398901287,3.813136287311952e-4,-7.871888348935436,-15.249647257163309
15,1393,20,1,20,780.5,20.5,0.03324180317540419,3.4177099052796697e-4,-7.981369663535441,-15.359128571763314
15,1393,1,2,21,20.5,60.5,0.03313066261638822,3.40628314279561e-4,-7.98471866259906,-15.362477570826933
15,1393,2,2,22,60.5,60.5,0.06634843185347962,6.821522032029577e-4,-7.290257753168101,-14.668016661395974
15,1393,3,2,23,100.5,60.5,0.08038769141202215,8.264949038766845e-4,-7.098316806630632,-14.476075714858505
15,1393,4,2,24,140.5,60.5,0.09125428364237959,9.382182652911067e-4,-6.971527943818679,-14.349286852046552
15,1393,5,2,25,180.5,60.5,0.09891572307872565,0.0010169882926332888,-6.890909673650323,-14.268668581878195
15,1393,6,2,26,220.5,60.5,0.10470862592981155,0.0010765472201379439,-6.833996377618444,-14.211755285846316
15,1393,7,2,27,260.5,60.5,0.10440333787878349,0.001073408443368054,-6.836916232249078,-14.21467514047695
15,1393,8,2,28,300.5,60.5,0.09543444575635164,9.811960225060577e-4,-6.926738299291726,-14.3044972075196
15,1393,9,2,29,340.5,60.5,0.09264930105682881,9.52560943425151e-4,-6.956356470411634,-14.334115378639506
15,1393,10,2,30,380.5,60.5,0.0843116285684716,8.668383197152544e-4,-7.050658081024434,-14.428416989252305
15,1393,11,2,31,420.5,60.5,0.09100073241988739,9.356114135507398e-4,-6.97431032415087,-14.352069232378742
15,1393,12,2,32,460.5,60.5,0.0907726562106713,9.332664796273802e-4,-6.976819782005229,-14.354578690233101
15,1393,13,2,33,500.5,60.5,0.08700829678275446,8.945637400800155e-4,-7.019174399778904,-14.396933308006776
15,1393,14,2,34,540.5,60.5,0.08663726022539232,8.907489791579736e-4,-7.023447899526728,-14.401206807754601
15,1393,15,2,35,580.5,60.5,0.09158735463162049,9.416426884882581e-4,-6.967884666928336,-14.34564357515621
15,1393,16,2,36,620.5,60.5,0.09944590347030006,0.0010224392688222388,-6.885564066606134,-14.263322974834008
